1, Monday 
2, Tuesday
3, Wednesday
4, Thursday
5, Friday
6, Saturday
7, Sunday
A, First Monday 
B, Second Monday 
C, Third Monday 
D, Last Monday
E, First Tuesday 
F, Second Tuesday 
G, Third Tuesday
H, Last Tuesday
I, First Wednesday 
J, Second Wednesday
K, Third Wednesday
L, Last Wednesday
M, First Thursday 
N, Second Thursday
O, Third Thursday
P, Last Thursday
Q, First Friday 
R, Second Friday 
S, Third Friday
T, Last Friday
U, First Saturday
V, Second Saturday
W, Third Saturday
X, Last Saturday
Y, First Sunday
Z, Second Sunday
a, Third Sunday
b, Last Sunday
c, Every other Monday
d, Every other Tuesday
e, Every other Wednesday
f, Every other Thursday
g, Every other Friday
h, Every other Saturday
i, Every other Sunday
j, Every other Monday (alt)
k, Every other Tuesday (alt)
l, Every other Wednesday (alt)
m, Every other Thursday (alt)
n, Every other Friday (alt)
o, Every other Saturday (alt)
p, Every other Sunday (alt)
